  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  9.9900000E-01  3.3332592E-04  5.5622288E-09  6.1876257E-13
  9.9800000E-01  6.6663696E-04  2.2275660E-08  4.9619702E-12
  9.9700000E-01  9.9993306E-04  5.0180530E-08  1.6786838E-11
  9.9600000E-01  1.3332142E-03  8.9317232E-08  3.9886599E-11
  9.9500000E-01  1.6664802E-03  1.3972632E-07  7.8090797E-11
  9.9400000E-01  1.9997312E-03  2.0144850E-07  1.3526559E-10
  9.9300000E-01  2.3329669E-03  2.7452465E-07  2.1531403E-10
  9.9200000E-01  2.6661875E-03  3.5899580E-07  3.2217641E-10
  9.9100000E-01  2.9993927E-03  4.5490315E-07  4.5983053E-10
  9.9000000E-01  3.3325826E-03  5.6228805E-07  6.3229200E-10
  9.8900000E-01  3.6657570E-03  6.8119203E-07  8.4361460E-10
  9.8800000E-01  3.9989160E-03  8.1165675E-07  1.0978905E-09
  9.8700000E-01  4.3320594E-03  9.5372409E-07  1.3992508E-09
  9.8600000E-01  4.6651872E-03  1.1074360E-06  1.7518655E-09
  9.8500000E-01  4.9982993E-03  1.2728348E-06  2.1599440E-09
  9.8400000E-01  5.3313957E-03  1.4499627E-06  2.6277357E-09
  9.8300000E-01  5.6644763E-03  1.6388622E-06  3.1595297E-09
  9.8200000E-01  5.9975410E-03  1.8395761E-06  3.7596557E-09
  9.8100000E-01  6.3305897E-03  2.0521472E-06  4.4324841E-09
  9.8000000E-01  6.6636225E-03  2.2766185E-06  5.1824263E-09
  9.7900000E-01  6.9966393E-03  2.5130332E-06  6.0139352E-09
  9.7800000E-01  7.3296399E-03  2.7614346E-06  6.9315053E-09
  9.7700000E-01  7.6626243E-03  3.0218664E-06  7.9396733E-09
  9.7600000E-01  7.9955924E-03  3.2943721E-06  9.0430182E-09
  9.7500000E-01  8.3285443E-03  3.5789958E-06  1.0246162E-08
  9.7400000E-01  8.6614797E-03  3.8757814E-06  1.1553769E-08
  9.7300000E-01  8.9943987E-03  4.1847732E-06  1.2970549E-08
  9.7200000E-01  9.3273011E-03  4.5060155E-06  1.4501253E-08
  9.7100000E-01  9.6601870E-03  4.8395531E-06  1.6150678E-08
  9.7000000E-01  9.9930562E-03  5.1854306E-06  1.7923665E-08
  9.6900000E-01  1.0325909E-02  5.5436929E-06  1.9825099E-08
  9.6800000E-01  1.0658744E-02  5.9143852E-06  2.1859913E-08
  9.6700000E-01  1.0991563E-02  6.2975529E-06  2.4033084E-08
  9.6600000E-01  1.1324365E-02  6.6932413E-06  2.6349633E-08
  9.6500000E-01  1.1657150E-02  7.1014961E-06  2.8814632E-08
  9.6400000E-01  1.1989918E-02  7.5223633E-06  3.1433195E-08
  9.6300000E-01  1.2322668E-02  7.9558887E-06  3.4210486E-08
  9.6200000E-01  1.2655402E-02  8.4021187E-06  3.7151718E-08
  9.6100000E-01  1.2988118E-02  8.8610997E-06  4.0262147E-08
  9.6000000E-01  1.3320817E-02  9.3328781E-06  4.3547083E-08
  9.5900000E-01  1.3653498E-02  9.8175008E-06  4.7011881E-08
  9.5800000E-01  1.3986162E-02  1.0315015E-05  5.0661946E-08
  9.5700000E-01  1.4318809E-02  1.0825467E-05  5.4502734E-08
  9.5600000E-01  1.4651437E-02  1.1348905E-05  5.8539750E-08
  9.5500000E-01  1.4984048E-02  1.1885377E-05  6.2778549E-08
  9.5400000E-01  1.5316641E-02  1.2434929E-05  6.7224737E-08
  9.5300000E-01  1.5649217E-02  1.2997610E-05  7.1883972E-08
  9.5200000E-01  1.5981774E-02  1.3573468E-05  7.6761963E-08
  9.5100000E-01  1.6314313E-02  1.4162552E-05  8.1864471E-08
  9.5000000E-01  1.6646835E-02  1.4764909E-05  8.7197311E-08
  9.4900000E-01  1.6979338E-02  1.5380589E-05  9.2766348E-08
  9.4800000E-01  1.7311823E-02  1.6009640E-05  9.8577504E-08
  9.4700000E-01  1.7644289E-02  1.6652112E-05  1.0463675E-07
  9.4600000E-01  1.7976738E-02  1.7308053E-05  1.1095012E-07
  9.4500000E-01  1.8309167E-02  1.7977514E-05  1.1752369E-07
  9.4400000E-01  1.8641579E-02  1.8660543E-05  1.2436361E-07
  9.4300000E-01  1.8973971E-02  1.9357192E-05  1.3147606E-07
  9.4200000E-01  1.9306345E-02  2.0067509E-05  1.3886730E-07
  9.4100000E-01  1.9638700E-02  2.0791545E-05  1.4654363E-07
  9.4000000E-01  1.9971037E-02  2.1529351E-05  1.5451141E-07
  9.3900000E-01  2.0303354E-02  2.2280977E-05  1.6277708E-07
  9.3800000E-01  2.0635652E-02  2.3046475E-05  1.7134710E-07
  9.3700000E-01  2.0967932E-02  2.3825895E-05  1.8022802E-07
  9.3600000E-01  2.1300192E-02  2.4619288E-05  1.8942643E-07
  9.3500000E-01  2.1632433E-02  2.5426707E-05  1.9894899E-07
  9.3400000E-01  2.1964654E-02  2.6248203E-05  2.0880242E-07
  9.3300000E-01  2.2296857E-02  2.7083827E-05  2.1899348E-07
  9.3200000E-01  2.2629039E-02  2.7933633E-05  2.2952903E-07
  9.3100000E-01  2.2961202E-02  2.8797672E-05  2.4041595E-07
  9.3000000E-01  2.3293346E-02  2.9675997E-05  2.5166122E-07
  9.2900000E-01  2.3625470E-02  3.0568661E-05  2.6327184E-07
  9.2800000E-01  2.3957574E-02  3.1475717E-05  2.7525492E-07
  9.2700000E-01  2.4289658E-02  3.2397218E-05  2.8761760E-07
  9.2600000E-01  2.4621722E-02  3.3333217E-05  3.0036710E-07
